date,count(date),average_price
2022-03-20,388602,28.826623100238617
2022-03-21,324301,26.783262092931572
2022-03-22,332784,26.059153234529862
2022-03-23,371523,25.943839223950103
2022-03-24,407287,27.428143471311156
2022-03-25,431185,26.94944817189493
2022-03-26,478320,25.56811741093422
2022-03-27,409981,26.417312046164227
2022-03-28,368892,26.265747644294976
2022-03-29,375984,26.218237584577647
2022-03-30,385275,26.582811446367753
2022-03-31,399737,28.019894555668163
2022-04-01,456520,28.995975269426708
2022-04-02,466961,28.418444088478648
2022-04-03,398035,27.55464132550791
2022-04-04,333470,27.291441449005557
2022-04-05,349815,27.352305189884614
2022-04-06,393060,28.332471480179077
2022-04-07,447206,29.545428549697352
2022-04-08,433898,29.16970774236611
2022-04-09,476843,28.03925539433205
2022-04-10,405474,27.728525676118768
2022-04-11,334817,27.31837597852206
2022-04-12,371254,33.27823215372536
2022-04-13,376318,30.147341556870096
2022-04-14,409571,30.46279206779191
2022-04-15,411872,28.401212002752935
2022-04-16,447391,27.14592396807196
2022-04-17,373813,26.767308734580965
2022-04-18,333543,27.06394737710677
2022-04-19,353786,26.673096052420924
2022-04-20,363366,27.72320748226376
2022-04-21,382297,27.455017381771437
2022-04-22,424712,27.23188092165622
2022-04-23,464234,28.390659494993
2022-04-24,383310,30.147880201399314
2022-04-25,328776,27.240811433930133
2022-04-26,352084,27.767374745801675
2022-04-27,378132,29.616540044213863
2022-04-28,403534,30.36532862162257
2022-04-29,439703,29.649440099334313
2022-04-30,472567,29.59133708024286
2022-05-01,371536,34.05227724904079
2022-05-02,309935,31.631840805333756
2022-05-03,346901,29.189647911076356
2022-05-04,379044,28.535121964729772
2022-05-05,408126,29.964988140910062
2022-05-06,487177,30.34963144810992
2022-05-07,505091,26.5707308781852
2022-05-08,372390,28.918248207520975
2022-05-09,312144,28.6591081359938
2022-05-10,352809,28.200655907306025
2022-05-11,378659,28.860272303043164
2022-05-12,402723,29.691681577652314
2022-05-13,445509,30.391998837274063
2022-05-14,493480,30.218328827909748
2022-05-15,401197,31.6878137423757
2022-05-16,367834,29.84597318354995
2022-05-17,371839,33.24574837496353
2022-05-18,393168,34.18227559210706
2022-05-19,425523,33.7036431168138
2022-05-20,444150,33.0463242372964
2022-05-21,477421,33.26182298222717
2022-05-22,391850,33.23477200458464
2022-05-23,337207,30.772476846559773
2022-05-24,352459,30.090660587468665
2022-05-25,369694,30.379698750853496
2022-05-26,381089,30.23852596111791
2022-05-27,395820,28.65588022332201
2022-05-28,396966,26.59289714988082
2022-05-29,352606,28.63802822413766
2022-05-30,308401,28.916612105671412
2022-05-31,350902,29.228454041294377
2022-06-01,386421,29.77639649500904
2022-06-02,389733,29.43813467167821
2022-06-03,417485,28.922224391285823
2022-06-04,447597,27.31578509238725
2022-06-05,388705,28.718148364434995
2022-06-06,330570,28.17241997156949
2022-06-07,367858,29.58282519341534
2022-06-08,390959,29.776797285642473
2022-06-09,414172,30.7435091700957
2022-06-10,435170,30.617432313797444
2022-06-11,461056,28.67567985233235
2022-06-12,393628,29.081278364336374
2022-06-13,354876,29.878911676186508
2022-06-14,370648,30.326999875887644
2022-06-15,394385,30.596369486661295
2022-06-16,412147,31.243971932337917
2022-06-17,438283,30.915185758961428
2022-06-18,449733,28.30984784304481
2022-06-19,388644,29.345950587171373
2022-06-20,323097,29.032815222678376
2022-06-21,376087,29.717538335541335
2022-06-22,399826,29.795494315020438
2022-06-23,413573,31.301717447698838
2022-06-24,445366,30.419094026026713
2022-06-25,476098,29.076025503146926
2022-06-26,396229,30.83938169593098
2022-06-27,352055,29.133281958779484
2022-06-28,339170,28.76403635345544
2022-06-29,355237,28.76961628434007
2022-06-30,367695,29.03293030908337
2022-07-01,384931,27.931675676933686
2022-07-02,372005,25.366038279056852
2022-07-03,345628,25.44009550731709
2022-07-04,298772,29.86376859277626
2022-07-05,313058,26.80215397787164
2022-07-06,314076,25.653979323488343
2022-07-07,339860,26.214480168311738
2022-07-08,387768,26.405816854406613
2022-07-09,402260,27.93901588524958
2022-07-10,358983,28.90587183793966
2022-07-11,311963,27.20829566327829
2022-07-12,336372,27.173754147200583
2022-07-13,359938,28.257832404470832
2022-07-14,376322,28.335923198747743
2022-07-15,399487,27.565145198712717
2022-07-16,448543,26.91796278171101
2022-07-17,366636,27.810037857707787
2022-07-18,334948,27.27706467870053
2022-07-19,351649,28.27870109114949
2022-07-20,381509,28.58183012720177
2022-07-21,405778,29.011969673062364
2022-07-22,433965,28.008992798950537
2022-07-23,464267,26.90590813044211
2022-07-24,396873,27.39183653207931
2022-07-25,329829,27.35752489925467
2022-07-26,340518,28.586811240512066
2022-07-27,366473,28.774076835119146
2022-07-28,382949,28.661360807827126
2022-07-29,415713,28.088186489228868
2022-07-30,440557,27.00083576018354
2022-07-31,382533,27.863572057828254
2022-08-01,315415,27.75698841210278
2022-08-02,334387,27.022873646420685
2022-08-03,355981,27.71490950361643
2022-08-04,383596,28.47784140086955
2022-08-05,420855,27.596678594778812
2022-08-06,447661,27.35990798843633
2022-08-07,377194,27.551317438792545
2022-08-08,336213,27.108343282401012
2022-08-09,369698,27.32069113169952
2022-08-10,370238,27.705905741732476
2022-08-11,386895,28.782534460276125
2022-08-12,414916,28.00173871340195
2022-08-13,420911,27.542458880878737
2022-08-14,360187,28.580025514547806
2022-08-15,309736,27.022816430775585
2022-08-16,330196,26.484454172679094
2022-08-17,350835,26.8672673764048
2022-08-18,371563,27.77878050290147
2022-08-19,415071,27.156233921420235
2022-08-20,442474,27.18262569099441
2022-08-21,377201,27.40492196467886
