pickup_location,average_price,Zone,Borough
97,26.7551991,Fort Greene,Brooklyn
106,26.78493298,Gowanus,Brooklyn
112,27.03116516,Greenpoint,Brooklyn
190,27.22642906,Prospect Park,Brooklyn
80,27.34872858,East Williamsburg,Brooklyn
189,27.4099188,Prospect Heights,Brooklyn
256,27.6466825,Williamsburg (South Side),Brooklyn
181,28.04408002,Park Slope,Brooklyn
34,28.06237677,Brooklyn Navy Yard,Brooklyn
257,28.44964076,Windsor Terrace,Brooklyn
25,29.65543302,Boerum Hill,Brooklyn
255,29.8580087,Williamsburg (North Side),Brooklyn
40,30.16142494,Carroll Gardens,Brooklyn
65,30.2865188,Downtown Brooklyn/MetroTech,Brooklyn
52,30.6136676,Cobble Hill,Brooklyn
54,30.67924951,Columbia Street,Brooklyn
195,31.03522337,Red Hook,Brooklyn
154,31.54049603,Marine Park/Floyd Bennett Field,Brooklyn
66,31.93969125,DUMBO/Vinegar Hill,Brooklyn
33,32.91181702,Brooklyn Heights,Brooklyn
47,18.85916172,Claremont/Bathgate,Bronx
169,19.01229527,Mount Hope,Bronx
94,19.27726861,Fordham South,Bronx
18,19.39466837,Bedford Park,Bronx
60,19.53533891,Crotona Park East,Bronx
78,19.56561948,East Tremont,Bronx
212,19.61773928,Soundview/Bruckner,Bronx
136,19.73091041,Kingsbridge Heights,Bronx
235,19.87534154,University Heights/Morris Heights,Bronx
242,19.89390078,Van Nest/Morris Park,Bronx
167,19.89889491,Morrisania/Melrose,Bronx
3,19.95348341,Allerton/Pelham Gardens,Bronx
248,19.99014398,West Farms/Bronx River,Bronx
250,20.18896238,Westchester Village/Unionport,Bronx
81,20.22792678,Eastchester,Bronx
159,20.27999684,Melrose South,Bronx
147,20.45301288,Longwood,Bronx
241,20.56990243,Van Cortlandt Village,Bronx
254,20.60726883,Williamsbridge/Olinville,Bronx
69,20.64351468,East Concourse/Concourse Village,Bronx
213,20.67697771,Soundview/Castle Hill,Bronx
174,20.70091399,Norwood,Bronx
32,20.70244269,Bronxdale,Bronx
126,20.74304278,Hunts Point,Bronx
20,21.16017535,Belmont,Bronx
59,21.18598753,Crotona Park,Bronx
183,21.23569595,Pelham Bay,Bronx
182,21.37742453,Parkchester,Bronx
