date,hour_of_day,avg(average_speed)
2023-04-03,11,12.517823787102275
2023-04-03,12,12.396369044525208
2023-04-03,13,12.376483399311882
2023-04-03,14,11.392102626387393
2023-04-03,15,10.688988059447992
2023-04-03,16,10.552554679546489
2023-04-03,17,10.861283183815017
2023-04-03,18,12.115662827422183
2023-04-03,19,13.84216257710739
2023-04-03,20,14.482207565158209
2023-04-03,21,15.069585369916455
2023-04-03,22,15.453857497808135
2023-04-03,23,16.328652498340634
2023-04-04,0,16.8008863512477
2023-04-04,1,17.82520221785746
2023-04-04,2,18.254208298906935
2023-04-04,3,20.936096837688247
2023-04-04,4,22.692885383818965
2023-04-04,5,19.939281176313354
2023-04-04,6,15.87232811113892
2023-04-04,7,12.28693377978575
2023-04-04,8,11.435319696198231
2023-04-04,9,12.259981046470106
2023-04-04,10,12.566914104271287
2023-04-04,11,12.649886515960326
2023-04-04,12,12.451111550563688
2023-04-04,13,12.214973392113677
2023-04-04,14,11.669689904116435
2023-04-04,15,11.061433564953697
2023-04-04,16,10.868715437693098
2023-04-04,17,11.079369470577571
2023-04-04,18,12.159881480905193
2023-04-04,19,13.753760389002803
2023-04-04,20,14.385912278537766
2023-04-04,21,14.887234140191286
2023-04-04,22,15.389728052008762
2023-04-04,23,15.820717295990582
2023-04-05,0,16.542930384582956
2023-04-05,1,16.94933609060248
2023-04-05,2,18.17720490453204
2023-04-05,3,20.057677699044262
2023-04-05,4,22.46099270788117
2023-04-05,5,20.394123256076227
2023-04-05,6,16.057690519852738
2023-04-05,7,12.838965029618665
2023-04-05,8,11.8328688318025
2023-04-05,9,12.480059679419304
2023-04-05,10,12.356329147527061
2023-04-05,11,11.725559723490967
2023-04-05,12,11.511833674876192
2023-04-05,13,11.308794760691313
2023-04-05,14,10.407918676793916
2023-04-05,15,9.489110352554356
2023-04-05,16,9.136621385207768
2023-04-05,17,9.44951965184398
2023-04-05,18,10.707541738970136
2023-04-05,19,12.476216385221038
2023-04-05,20,13.942118308400667
2023-04-05,21,14.439307382673167
2023-04-05,22,14.82890862764597
2023-04-05,23,15.742103182961637
2023-04-06,0,16.728959791537495
2023-04-06,1,17.29909029296544
2023-04-06,2,17.510344561308546
2023-04-06,3,20.28867063642693
2023-04-06,4,22.247483155256763
2023-04-06,5,20.600407777945584
2023-04-06,6,17.25211070522886
2023-04-06,7,15.062434790393825
2023-04-06,8,13.811546145591128
2023-04-06,9,13.716950143727194
2023-04-06,10,13.571641737797655
2023-04-06,11,13.27253800622546
2023-04-06,12,13.26449096769961
2023-04-06,13,13.095157996308988
2023-04-06,14,12.482249914867474
2023-04-06,15,12.024526262577185
2023-04-06,16,11.853178336303968
2023-04-06,17,11.952742203664886
2023-04-06,18,12.66952786060014
2023-04-06,19,13.567132997927887
2023-04-06,20,13.743365692210782
2023-04-06,21,14.225952394969262
2023-04-06,22,14.446024962890451
2023-04-06,23,15.008472201177298
2023-04-07,0,15.782601292474245
2023-04-07,1,16.211197904986566
2023-04-07,2,16.85818675912257
2023-04-07,3,18.806332483654348
2023-04-07,4,21.65019516585012
2023-04-07,5,21.023162737310415
2023-04-07,6,18.870619036385555
2023-04-07,7,17.05568611231594
2023-04-07,8,15.59991773402655
2023-04-07,9,14.8146102983664
2023-04-07,10,13.935473194639656
2023-04-07,11,13.338842694695321
2023-04-07,12,13.145296013549475
2023-04-07,13,12.876413336558327
2023-04-07,14,12.355598522850855
2023-04-07,15,12.179898201637242
2023-04-07,16,12.041147029036754
2023-04-07,17,12.229742733592664
2023-04-07,18,12.840251584057421
2023-04-07,19,13.18721618100301
2023-04-07,20,13.482444097431488
2023-04-07,21,13.581369650171665
2023-04-07,22,13.663301225484721
2023-04-07,23,14.266851509874785
2023-04-08,0,14.491454754081037
2023-04-08,1,14.905224142513681
2023-04-08,2,15.69530211341565
2023-04-08,3,17.108448303475605
2023-04-08,4,19.607076428647407
2023-04-08,5,20.829984189823996
2023-04-08,6,20.391889656690573
2023-04-08,7,19.240770705273864
2023-04-08,8,17.347910390992922
2023-04-08,9,15.643211067529426
2023-04-08,10,14.370546982946507
2023-04-08,11,13.397517068640488
2023-04-08,12,12.94490611994016
2023-04-08,13,12.582396653844665
2023-04-08,14,12.47313686356192
2023-04-08,15,12.289926672234937
2023-04-08,16,11.966632064546827
2023-04-08,17,11.984667628408271
2023-04-08,18,12.168873780448521
2023-04-08,19,12.470081346665935
2023-04-08,20,12.971404281508686
2023-04-08,21,13.468777478949956
2023-04-08,22,13.597390822180143
2023-04-08,23,14.299872978157365
2023-04-09,0,15.109613794240335
2023-04-09,1,15.613963879686766
2023-04-09,2,16.285529607752707
2023-04-09,3,17.74638688409957
2023-04-09,4,19.642130548601553
2023-04-09,5,20.605072840848003
2023-04-09,6,20.94269444793752
2023-04-09,7,20.011851522432696
2023-04-09,8,18.391159764415026
2023-04-09,9,16.717275071918532
2023-04-09,10,15.481395000132517
2023-04-09,11,14.539950495785332
2023-04-09,12,13.40797227095007
2023-04-09,13,12.78362703065787
2023-04-09,14,12.420481383963171
2023-04-09,15,12.519535205051438
2023-04-09,16,12.537795839684541
2023-04-09,17,12.68691339738015
2023-04-09,18,12.949426286231072
2023-04-09,19,13.771716516294088
2023-04-09,20,13.646892808015089
2023-04-09,21,14.210860216863404
2023-04-09,22,15.384947597046935
2023-04-09,23,16.904088037385034
2023-04-10,0,17.740780663972888
2023-04-10,1,17.467423074931045
2023-04-10,2,18.029319358681693
2023-04-10,3,20.37196474050735
2023-04-10,4,23.074160442148553
2023-04-10,5,21.221773277818183
2023-04-10,6,17.796461287535674
2023-04-10,7,15.287118702178372
2023-04-10,8,13.798865888571125
2023-04-10,9,13.80821063047188
2023-04-10,10,13.606664304919587
2023-04-10,11,13.267007306571166
2023-04-10,12,12.888661539136965
2023-04-10,13,12.790193539169794
2023-04-10,14,12.283236995728675
2023-04-10,15,11.609396445121188
2023-04-10,16,11.510322327762138
