date,count
2022-09-05,329285
2022-09-06,384285
2022-09-07,375694
2022-09-08,395091
2022-09-09,437147
2022-09-10,482531
2022-09-11,436997
2022-09-12,357473
2022-09-13,368925
2022-09-14,381996
2022-09-15,398277
2022-09-16,434443
2022-09-17,471405
2022-09-18,408890
2022-09-19,339675
2022-09-20,335614
2022-09-21,343333
2022-09-22,387130
2022-09-23,420405
2022-09-24,458097
2022-09-25,395560
2022-09-26,303409
2022-09-27,325686
2022-09-28,360573
2022-09-29,385097
2022-09-30,443717
2022-10-01,497850
2022-10-02,390937
2022-10-03,379031
2022-10-04,372908
2022-10-05,363802
2022-10-06,374642
2022-10-07,430709
2022-10-08,478488
2022-10-09,405519
2022-10-10,320276
2022-10-11,354591
2022-10-12,376871
2022-10-13,417634
2022-10-14,447543
2022-10-15,491997
2022-10-16,417600
2022-10-17,359342
2022-10-18,365226
2022-10-19,397397
2022-10-20,411014
2022-10-21,449105
2022-10-22,488775
2022-10-23,426241
2022-10-24,373652
2022-10-25,362296
2022-10-26,380981
2022-10-27,400581
2022-10-28,478799
2022-10-29,530940
2022-10-30,451917
2022-10-31,354353
2022-11-01,359616
2022-11-02,368573
2022-11-03,390499
2022-11-04,435482
2022-11-05,476017
2022-11-06,380533
2022-11-07,339288
2022-11-08,363226
2022-11-09,387018
2022-11-10,406098
2022-11-11,473065
2022-11-12,485985
2022-11-13,429051
2022-11-14,363212
2022-11-15,409938
2022-11-16,401464
2022-11-17,430424
2022-11-18,483062
2022-11-19,515571
2022-11-20,433148
2022-11-21,360538
2022-11-22,355700
2022-11-23,372873
2022-11-24,360685
2022-11-25,337850
2022-11-26,367041
2022-11-27,354009
2022-11-28,335545
2022-11-29,353945
2022-11-30,403579
2022-12-01,411870
2022-12-02,461469
2022-12-03,516608
2022-12-04,407362
2022-12-05,366641
2022-12-06,416873
2022-12-07,411244
2022-12-08,441856
2022-12-09,496940
2022-12-10,527883
2022-12-11,453985
2022-12-12,380799
2022-12-13,400422
2022-12-14,425557
2022-12-15,475103
2022-12-16,540552
2022-12-17,501381
2022-12-18,426391
2022-12-19,354590
2022-12-20,372227
2022-12-21,376776
2022-12-22,389402
2022-12-23,436072
2022-12-24,425433
2022-12-25,331072
2022-12-26,289452
2022-12-27,310306
2022-12-28,326119
2022-12-29,346498
2022-12-30,392529
2022-12-31,465495
2023-01-01,405934
2023-01-02,270772
2023-01-03,320915
2023-01-04,331348
2023-01-05,347615
2023-01-06,414484
2023-01-07,450291
2023-01-08,375106
2023-01-09,324901
2023-01-10,344558
2023-01-11,370086
2023-01-12,415321
2023-01-13,451631
2023-01-14,518131
2023-01-15,459651
2023-01-16,345865
2023-01-17,363408
2023-01-18,377389
2023-01-19,457806
2023-01-20,463209
2023-01-21,516447
2023-01-22,440421
2023-01-23,375039
2023-01-24,375362
2023-01-25,452984
2023-01-26,431649
2023-01-27,480551
2023-01-28,508652
2023-01-29,415337
2023-01-30,348057
2023-01-31,381414
2023-02-01,412597
2023-02-02,440493
2023-02-03,576801
2023-02-04,585628
2023-02-05,435049
2023-02-06,371172
2023-02-07,392571
2023-02-08,401432
2023-02-09,424369
2023-02-10,485739
2023-02-11,518487
2023-02-12,442798
2023-02-13,371397
2023-02-14,418198
2023-02-15,394255
2023-02-16,414191
2023-02-17,492002
2023-02-18,496134
2023-02-19,420409
2023-02-20,335877
2023-02-21,363913
2023-02-22,399777
2023-02-23,427295
2023-02-24,490382
2023-02-25,542311
2023-02-26,423953
2023-02-27,376317
2023-02-28,408107
2023-03-01,410194
2023-03-02,431126
2023-03-03,506905
2023-03-04,537094
2023-03-05,439035
2023-03-06,367421
2023-03-07,410028
2023-03-08,422612
2023-03-09,440366
2023-03-10,510720
2023-03-11,521084
2023-03-12,425113
2023-03-13,409926
2023-03-14,430977
2023-03-15,427554
2023-03-16,436989
2023-03-17,480464
2023-03-18,523388
2023-03-19,429351
2023-03-20,357215
2023-03-21,364577
2023-03-22,382353
2023-03-23,414546
2023-03-24,455836
2023-03-25,521670
2023-03-26,402086
2023-03-27,364720
2023-03-28,363261
2023-03-29,388241
2023-03-30,421677
2023-03-31,449452
2023-04-01,526003
2023-04-02,426677
2023-04-03,360789
2023-04-04,383165
2023-04-05,406791
2023-04-06,397857
2023-04-07,441172
2023-04-08,464091
2023-04-09,402733
2023-04-10,330731
2023-04-11,352289
2023-04-12,382390
2023-04-13,415346
2023-04-14,476649
2023-04-15,494228
2023-04-16,405154
2023-04-17,359652
2023-04-18,381708
2023-04-19,399637
2023-04-20,421368
2023-04-21,450362
2023-04-22,506253
2023-04-23,420498
2023-04-24,356140
2023-04-25,379381
2023-04-26,404826
2023-04-27,430351
2023-04-28,516180
2023-04-29,580764
2023-04-30,476568
2023-05-01,372427
2023-05-02,400657
2023-05-03,410896
2023-05-04,440778
2023-05-05,485719
2023-05-06,510945
2023-05-07,404517
2023-05-08,360367
2023-05-09,380773
2023-05-10,400845
2023-05-11,435273
2023-05-12,474692
2023-05-13,502853
