date,count(date),average_profit
2022-05-11,378659,10.605673257469174
2022-05-12,402723,11.059876416296094
2022-05-13,445509,11.47943956238765
2022-05-14,493480,11.307055321390578
2022-05-15,401197,11.957918329399071
2022-05-16,367834,10.660509740807298
2022-05-17,371839,12.51816845462673
2022-05-18,393168,12.560182924347714
2022-05-19,425523,12.360090523896158
2022-05-20,444150,11.915937588652048
2022-05-21,477421,11.81459824766815
2022-05-22,391850,11.82383501339782
2022-05-23,337207,10.736232373586658
2022-05-24,352459,10.811644219611521
2022-05-25,369694,10.794847928286744
2022-05-26,381089,10.716771961405527
2022-05-27,395820,10.259953842655662
2022-05-28,396966,9.418231511010902
2022-05-29,352606,9.780358019999557
2022-05-30,308401,9.830306030135786
2022-05-31,350902,10.179690055913081
2022-06-01,386421,10.422427430186538
2022-06-02,389733,10.454487020601412
2022-06-03,417485,10.111071367833496
2022-06-04,447597,9.172576201359696
2022-06-05,388705,9.845928557646682
2022-06-06,330570,10.08034050276794
2022-06-07,367858,10.61390764914717
2022-06-08,390959,10.504914914352065
2022-06-09,414172,10.922429570323606
2022-06-10,435170,10.527833697175824
2022-06-11,461056,9.590729607683311
2022-06-12,393628,9.846161375715015
2022-06-13,354876,10.590083522131973
2022-06-14,370648,11.152848578705397
2022-06-15,394385,11.034664629739828
2022-06-16,412147,11.239720706446956
2022-06-17,438283,11.228147361408015
2022-06-18,449733,9.684329813467146
2022-06-19,388644,10.081081864122286
2022-06-20,323097,10.734187813566951
2022-06-21,376087,10.818444110006268
2022-06-22,399826,11.054674883574078
2022-06-23,413573,11.43189543321215
2022-06-24,445366,10.8863125384514
2022-06-25,476098,10.027806291982099
2022-06-26,396229,10.676626319628067
2022-06-27,352055,10.480468080271637
2022-06-28,339170,10.373503257953072
2022-06-29,355237,10.341131329225146
2022-06-30,367695,10.461339398142389
2022-07-01,384931,9.770444677097846
2022-07-02,372005,8.765626832972364
2022-07-03,345628,8.697104516995058
2022-07-04,298772,11.099556082899351
2022-07-05,313058,9.781629474410716
2022-07-06,314076,9.164221876233553
2022-07-07,339860,9.34633616783392
2022-07-08,387768,9.019695668543989
2022-07-09,402260,9.556980037786143
2022-07-10,358983,9.913020254441305
2022-07-11,311963,9.682200004487463
2022-07-12,336372,9.68031069768
2022-07-13,359938,10.061461779528777
2022-07-14,376322,10.007867411418998
2022-07-15,399487,9.345186251367041
2022-07-16,448543,8.972482348403721
2022-07-17,366636,9.24479456463609
2022-07-18,334948,9.589406504890478
2022-07-19,351649,10.059644020031394
2022-07-20,381509,10.095697925868096
2022-07-21,405778,10.466668350674826
2022-07-22,433965,9.818618229580693
2022-07-23,464267,9.228585016811136
2022-07-24,396873,9.39889959760443
2022-07-25,329829,10.20457318792495
2022-07-26,340518,10.757995818136486
2022-07-27,366473,10.767901919104599
2022-07-28,382949,10.78808003154471
2022-07-29,415713,10.06789741961416
2022-07-30,440557,9.492636684923648
2022-07-31,382533,9.75184791900322
2022-08-01,315415,10.395227081780853
2022-08-02,334387,10.17218474402424
2022-08-03,355981,10.394209185321573
2022-08-04,383596,10.684860921385926
2022-08-05,420855,10.161745708141675
2022-08-06,447661,9.834491143968446
2022-08-07,377194,9.872086353441283
2022-08-08,336213,10.20900988361528
2022-08-09,369698,10.34886694004273
2022-08-10,370238,10.422821077252724
2022-08-11,386895,10.791259411468086
2022-08-12,414916,10.221685136268366
2022-08-13,420911,9.706181354253136
2022-08-14,360187,10.374083545491443
2022-08-15,309736,9.811454755016943
2022-08-16,330196,9.515736956232113
2022-08-17,350835,9.676421964741332
2022-08-18,371563,9.872431835247093
2022-08-19,415071,9.505123990835362
2022-08-20,442474,9.307122045589209
2022-08-21,377201,9.444675226205435
2022-08-22,326487,9.47074290859937
2022-08-23,336793,9.660140947109841
2022-08-24,356396,9.399426031717567
2022-08-25,378746,9.539972540964035
2022-08-26,420814,9.164572400157718
2022-08-27,454877,8.930839655555273
2022-08-28,384662,9.461709344827197
2022-08-29,325966,9.665215237171783
2022-08-30,342223,9.669487965449257
2022-08-31,351657,9.924860560148138
2022-09-01,363731,9.984926003007411
2022-09-02,406631,9.812939520105312
2022-09-03,426809,9.024496109501014
2022-09-04,402576,9.502963092683304
2022-09-05,329285,10.983825318492892
2022-09-06,384285,11.222442926473711
2022-09-07,375694,10.816847248026189
2022-09-08,395091,12.324733997990034
2022-09-09,437147,11.25790157544229
2022-09-10,482531,11.135087155022132
2022-09-11,436997,11.478554063299736
2022-09-12,357473,12.23962620953203
2022-09-13,368925,12.187827634343211
2022-09-14,381996,12.04009788060609
2022-09-15,398277,12.111399553577243
2022-09-16,434443,10.63066075411488
2022-09-17,471405,10.169325378390042
2022-09-18,408890,10.91746875687816
2022-09-19,339675,11.488649797600551
2022-09-20,335614,11.674414625134684
2022-09-21,343333,12.150399349902402
2022-09-22,387130,11.740799757187192
2022-09-23,420405,11.171750668997516
2022-09-24,458097,9.488551442161834
2022-09-25,395560,10.015822201436077
2022-09-26,303409,10.117802273498645
2022-09-27,325686,10.022695448990866
2022-09-28,360573,10.283139225621158
2022-09-29,385097,10.435731932474166
2022-09-30,443717,9.52931097974581
2022-10-01,497850,8.743374209099015
2022-10-02,390937,8.920698705929587
2022-10-03,379031,10.052382813015186
2022-10-04,372908,9.913392740300193
2022-10-05,363802,9.689520618358081
2022-10-06,374642,11.219218774189802
2022-10-07,430709,9.827343658943606
2022-10-08,478488,9.24357225259556
2022-10-09,405519,9.801760336753494
2022-10-10,320276,10.326115569071519
2022-10-11,354591,10.617455096152716
2022-10-12,376871,10.800518745140797
2022-10-13,417634,11.281889573166849
2022-10-14,447543,10.17044853790568
2022-10-15,491997,9.57631280272037
2022-10-16,417600,9.911984099616804
2022-10-17,359342,10.537773152038628
2022-10-18,365226,10.51209177331273
2022-10-19,397397,10.952881274896464
2022-10-20,411014,10.940022967587339
2022-10-21,449105,10.202142527916616
2022-10-22,488775,9.479361444427438
2022-10-23,426241,9.72460073057262
2022-10-24,373652,10.455430293427973
2022-10-25,362296,10.363609562346593
2022-10-26,380981,10.653140077851619
2022-10-27,400581,10.830379249140561
2022-10-28,478799,9.678955511602872
2022-10-29,530940,9.797299600707905
2022-10-30,451917,10.590984716219685
2022-10-31,354353,9.565860088668375
2022-11-01,359616,10.761188545559587
2022-11-02,368573,10.275893296578902
2022-11-03,390499,10.745083828639533
2022-11-04,435482,10.157960306051534
2022-11-05,476017,9.267677856042663
2022-11-06,380533,10.572401394885368
2022-11-07,339288,10.232251597462989
2022-11-08,363226,10.029169662964797
2022-11-09,387018,10.45761747515634
2022-11-10,406098,11.010870848908255
2022-11-11,473065,10.435502013464859
2022-11-12,485985,9.586838338631976
2022-11-13,429051,10.653537714630474
2022-11-14,363212,10.633418609517232
2022-11-15,409938,12.034866150490931
2022-11-16,401464,11.166540810633043
2022-11-17,430424,11.443570037916274
2022-11-18,483062,10.48389776053552
2022-11-19,515571,9.985078427607448
2022-11-20,433148,10.062553769150663
2022-11-21,360538,10.193454115793523
